"","PROLIFIC_PID","task_number","profile","chosen","age","educ","ml","prog","soft","lead","Progress","Finished","RecordedDate","LocationLatitude","LocationLongitude","consent","resp_age","resp_sex","resp_hiring","resp_role","resp_edu","industry_type","dig_literacy","dig_use","dig_skills","gov_reg","gov_reskill","personal_data_safety_cause_for_concern","ai_increases_prod_without_unemp","labour_welfare_policies_over_econ_growth","ai_driven_high_job_disp_in_the_future","more_ai_research_and_development","check_1","check_2","ai_framing","job_role","Duration_mins"
"1","67f2a88a874ffbefd55213cf",1,"A",1,"28","Bachelor's","None","Intermediate","Low","Medium","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"2","68126af379b0b5fec9be4d75",1,"A",1,"27","Bachelor's","Intermediate","Intermediate","Low","Low","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"3","67a945bc8c687a3fb20a5ba3",1,"A",1,"33","Master's","Intermediate","Intermediate","Low","Medium","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"4","67f2a88a874ffbefd55213cf",1,"B",0,"58","Master's","Advanced","Advanced","High","Low","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"5","68126af379b0b5fec9be4d75",1,"B",0,"56","Master's","None","Advanced","Low","Low","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"6","67a945bc8c687a3fb20a5ba3",1,"B",0,"60","Bachelor's","None","None","High","Medium","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"7","67f2a88a874ffbefd55213cf",2,"A",1,"54","PhD","Basic","Basic","Medium","High","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"8","68126af379b0b5fec9be4d75",2,"A",1,"43","PhD","Basic","Advanced","Medium","Medium","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"9","67a945bc8c687a3fb20a5ba3",2,"A",1,"29","PhD","Intermediate","Intermediate","Low","Low","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"10","67f2a88a874ffbefd55213cf",2,"B",0,"36","Bachelor's","Advanced","Advanced","Medium","Medium","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"11","68126af379b0b5fec9be4d75",2,"B",0,"47","Bachelor's","Advanced","Advanced","Low","Low","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"12","67a945bc8c687a3fb20a5ba3",2,"B",0,"43","Master's","Basic","Intermediate","Low","Medium","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"13","67f2a88a874ffbefd55213cf",3,"A",0,"26","Master's","Intermediate","Advanced","Low","High","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"14","68126af379b0b5fec9be4d75",3,"A",1,"44","Master's","Intermediate","Advanced","Low","High","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"15","67a945bc8c687a3fb20a5ba3",3,"A",0,"27","Bachelor's","Basic","Advanced","Medium","Low","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"16","67f2a88a874ffbefd55213cf",3,"B",1,"52","PhD","Basic","Basic","High","High","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"17","68126af379b0b5fec9be4d75",3,"B",0,"35","Bachelor's","None","Advanced","High","Low","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"18","67a945bc8c687a3fb20a5ba3",3,"B",1,"39","Master's","None","Advanced","High","High","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"19","67f2a88a874ffbefd55213cf",4,"A",1,"37","Bachelor's","Intermediate","Intermediate","High","Low","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"20","68126af379b0b5fec9be4d75",4,"A",0,"43","Master's","Basic","Advanced","Medium","High","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"21","67a945bc8c687a3fb20a5ba3",4,"A",0,"38","PhD","None","Basic","Low","High","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
"22","67f2a88a874ffbefd55213cf",4,"B",0,"45","PhD","Intermediate","Intermediate","Low","Low","100","True","45783.661933761578","39.046900000000001","-77.490300000000005","Yes","45-54","Male","Yes, regularly","Data Analyst","Bachelor's Degree","Computer and Technology","Somewhat comfortable","I use AI tools frequently","Advanced","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","The company has limited or no use of AI.","Slightly","low","manager",3.86666666666667
"23","68126af379b0b5fec9be4d75",4,"B",1,"49","PhD","Basic","Advanced","High","Low","100","True","45783.662933449072","37.750999999999998","-97.822000000000003","Yes","45-54","Female","Yes, regularly","Human Resources Manager","Master's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Neutral","Agree","Agree","Strongly agree","The company has limited or no use of AI.","Significantly","low","manager",9.3
"24","67a945bc8c687a3fb20a5ba3",4,"B",1,"39","Bachelor's","None","Intermediate","Medium","Medium","100","True","45783.663088402776","37.750999999999998","-97.822000000000003","Yes","35-44","Male","Yes, regularly","manager","Bachelor's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools occasionally","Advanced","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","The company relies heavily on AI.","Significantly","low","manager",6.06666666666667
