"","Progress","Finished","RecordedDate","LocationLatitude","LocationLongitude","consent","resp_age","resp_sex","resp_hiring","resp_role","resp_edu","industry_type","dig_literacy","dig_use","dig_skills","gov_reg","gov_reskill","personal_data_safety_cause_for_concern","ai_increases_prod_without_unemp","labour_welfare_policies_over_econ_growth","ai_driven_high_job_disp_in_the_future","more_ai_research_and_development","low_ai_gen_choice_1","low_ai_gen_choice_2","low_ai_gen_choice_3","low_ai_gen_choice_4","low_ai_gen_choice_5","check_1","check_2","low_ai_sp_choice_1","low_ai_sp_choice_2","low_ai_sp_choice_3","low_ai_sp_choice_4","low_ai_sp_choice_5","high_ai_gen_choice_1","high_ai_gen_choice_2","high_ai_gen_choice_3","high_ai_gen_choice_4","high_ai_gen_choice_5","high_ai_sp_choice_1","high_ai_sp_choice_2","high_ai_sp_choice_3","high_ai_sp_choice_4","high_ai_sp_choice_5","PROLIFIC_PID","traits1a_low_gen","traits1b_low_gen","traits2a_low_gen","traits2b_low_gen","traits3a_low_gen","traits3b_low_gen","traits4a_low_gen","traits4b_low_gen","traits5a_low_gen","traits5b_low_gen","traits1a_low_sp","traits1b_low_sp","traits2a_low_sp","traits2b_low_sp","traits3a_low_sp","traits3b_low_sp","traits4a_low_sp","traits4b_low_sp","traits5a_low_sp","traits5b_low_sp","traits1a_high_gen","traits1b_high_gen","traits2a_high_gen","traits2b_high_gen","traits3a_high_gen","traits3b_high_gen","traits4a_high_gen","traits4b_high_gen","traits5a_high_gen","traits5b_high_gen","traits1a_high_sp","traits1b_high_sp","traits2a_high_sp","traits2b_high_sp","traits3a_high_sp","traits3b_high_sp","traits4a_high_sp","traits4b_high_sp","traits5a_high_sp","traits5b_high_sp","ai_framing","job_role","Duration_mins","m_check","Status","Decision.making.responsibilities","Age","Sex","Ethnicity.simplified","Country.of.residence","Nationality","Language","Time.taken_mins","Region","resp_age_num"
"1","100","True","45796.7631603819","43.1899","-89.2185","Yes","45-54","Male","Occasionally","Business Analyst","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Neutral","Candidate B","Candidate B","Candidate B","Candidate B","Candidate A","The company has limited or no use of AI.","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"566a3e0e7da0350012b3ec49","52|Master's|Basic|Advanced|High|High","30|Bachelor's|None|Intermediate|High|High","53|Master's|Intermediate|Advanced|Low|Medium","32|PhD|Advanced|Advanced|Medium|Medium","57|Master's|None|Intermediate|Medium|Medium","37|Bachelor's|None|Basic|Medium|Medium","41|Master's|Intermediate|Advanced|Low|Medium","40|Bachelor's|Advanced|Advanced|Medium|High","51|Master's|None|Intermediate|High|Medium","43|Master's|None|Intermediate|Low|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",3.26666666666667,"pass","APPROVED","Customer/client, Hiring, Operations/production, People management","49","Male","White","United States","United States","English",3.4,"US","49"
"2","100","True","45796.7579098148","33.4355","-86.1131","Yes","45-54","Male","Yes, regularly","Team Lead","Bachelor's Degree","Cybersecurity,Computer and Technology","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Moderately",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Candidate B","Candidate B","Candidate A","Candidate B","Candidate A","573753f212d1d80007355ff6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42|Bachelor's|None|Basic|Low|Low","32|PhD|Intermediate|Intermediate|Low|Low","53|Bachelor's|None|Advanced|High|Low","49|PhD|Basic|Intermediate|Low|High","48|Bachelor's|Intermediate|Advanced|High|High","38|PhD|None|Intermediate|Medium|High","25|Bachelor's|None|Intermediate|High|Medium","55|Master's|Basic|Advanced|High|Low","46|Bachelor's|None|Basic|Low|Medium","35|PhD|None|Basic|Low|Low","high","analyst",2.73333333333333,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management","47","Male","White","United States","United States","English",2.88333333333333,"US","47"
"3","100","True","45796.7558297222","43.0241","-76.0136","Yes","25-34","Male","Yes, regularly","Executive","Bachelor's Degree","Music","Very comfortable","I use AI tools frequently","Intermediate","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Candidate B","Candidate A","Candidate A","Candidate B","Candidate B","The company has limited or no use of AI.","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5749537f5e5491000f3c1e33","30|Master's|None|None|Low|Medium","32|PhD|Advanced|Advanced|Low|High","32|Master's|Basic|Advanced|Medium|Low","57|Master's|None|Advanced|Low|Medium","37|Bachelor's|Basic|Basic|Medium|High","59|Bachelor's|None|None|Low|Medium","36|Master's|None|Intermediate|High|High","25|PhD|Basic|Advanced|High|Medium","58|Bachelor's|Intermediate|Intermediate|Low|Medium","52|Bachelor's|Advanced|Advanced|High|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",3.61666666666667,"pass","APPROVED","Hiring, People management, Operations/production, Research/development, Marketing/sales/advertising, Customer/client","34","Male","White","United States","United States","English",3.75,"US","34"
"4","100","True","45796.7504879398","40.4519","-3.711","Yes","45-54","Male","Occasionally","Finance Director","Bachelor's Degree","Retail","Very comfortable","I use AI tools occasionally","Intermediate","Disagree","Agree","Disagree","Agree","Strongly agree","Disagree","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Significantly",NA,NA,NA,NA,NA,"Candidate B","Candidate B","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,"58905562670d6600012bda4b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54|Bachelor's|None|Intermediate|High|Low","36|PhD|Basic|Advanced|High|Medium","29|PhD|Intermediate|Advanced|High|Low","42|Master's|None|None|Low|High","50|PhD|Advanced|Advanced|Medium|Medium","26|PhD|Basic|Advanced|Medium|Low","52|Bachelor's|Intermediate|Advanced|Low|High","48|Master's|Basic|Advanced|Medium|High","43|PhD|Advanced|Advanced|High|Medium","47|Bachelor's|None|Intermediate|Medium|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",5.06666666666667,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management, Supply chain/logistics, Research/development","51","Male","White","Spain","Spain","Spanish",5.18333333333333,"EU","51"
"5","100","True","45796.7524209259","45.4722","9.1922","Yes","54-65","Male","Occasionally","IT Director / manager","Bachelor's Degree","Manufacturing","Somewhat comfortable","I use AI tools occasionally","Advanced","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree",NA,NA,NA,NA,NA,"The company has limited or no use of AI.","Significantly","Candidate B","Candidate A","Candidate B","Candidate B","Candidate A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58c62eac444ade00010231a9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27|Master's|None|Basic|Medium|Low","40|Master's|Intermediate|Advanced|Low|High","49|Bachelor's|None|Basic|High|High","42|PhD|Intermediate|Intermediate|Low|Low","35|Bachelor's|Intermediate|Intermediate|Low|High","53|Bachelor's|Intermediate|Intermediate|Medium|High","52|Master's|None|Basic|High|Medium","49|PhD|None|Intermediate|High|Medium","35|Master's|Basic|Advanced|Medium|High","33|Master's|Basic|Advanced|Low|Low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",8.36666666666667,"pass","APPROVED","Business strategy, Research/development, Other, People management, Hiring, Accounts/finance","57","Male","White","Italy","Italy","Italian",8.46666666666667,"EU","57"
"6","100","True","45796.7984045255","38.269","-85.4934","Yes","45-54","Female","Yes, regularly","IT Director","Master's Degree","Healthcare","Very comfortable","I use AI tools frequently","Advanced","Disagree","Agree","Agree","Disagree","Disagree","Strongly agree","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Moderately",NA,NA,NA,NA,NA,"Candidate B","Candidate A","Candidate A","Candidate B","Candidate A",NA,NA,NA,NA,NA,"5ad449bc3a859300016c706c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57|Master's|None|Advanced|High|Low","32|Bachelor's|Basic|Intermediate|High|Medium","51|PhD|Intermediate|Advanced|Medium|Medium","39|PhD|Basic|Intermediate|Low|Medium","58|Master's|None|None|Medium|Low","27|Bachelor's|None|Basic|Medium|Low","56|Bachelor's|None|Basic|High|High","54|Bachelor's|Advanced|Advanced|High|Low","44|Bachelor's|Intermediate|Intermediate|Low|Medium","50|PhD|Basic|Advanced|Low|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"high","manager",2.8,"pass","APPROVED","Business strategy, Hiring, Operations/production, Accounts/finance","45","Female","White","United States","United States","English",3.06666666666667,"US","45"
"7","100","True","45796.7475830787","39.5995","-78.8461","Yes","35-44","Male","Yes, regularly","Talent Acquisition Specialist","Master's Degree","Banking, Finance and Insurance,Computer and Technology","Very comfortable","I use AI tools frequently","Intermediate","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree",NA,NA,NA,NA,NA,"The company relies heavily on AI.","Moderately","Candidate A","Candidate B","Candidate A","Candidate A","Candidate A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5aeeb4903c80f200013af2ed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59|Master's|None|Intermediate|High|High","58|Master's|None|Intermediate|Medium|Medium","51|Bachelor's|None|Intermediate|Medium|High","54|PhD|Basic|Intermediate|Medium|High","28|PhD|None|Intermediate|Medium|High","32|Master's|None|Intermediate|Medium|High","49|Bachelor's|Intermediate|Advanced|Low|High","44|Master's|None|Basic|Medium|High","40|Bachelor's|Basic|Basic|Low|Medium","50|Master's|None|None|Medium|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",2.5,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Operations/production, People management","36","Male","White","United States","United States","English",2.58333333333333,"US","36"
"8","100","True","45796.7531443403","38.2668","-5.1943","Yes","35-44","Male","Yes, regularly","owner","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Strongly agree","Agree","Neutral","Agree","Agree","Neutral",NA,NA,NA,NA,NA,"The company has limited or no use of AI.","Slightly","Candidate A","Candidate B","Candidate A","Candidate B","Candidate B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5b376f54cf5e6a00018309ef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51|Master's|Intermediate|Advanced|Medium|Medium","56|PhD|None|Intermediate|Low|Low","46|Master's|None|Basic|High|High","46|Master's|Basic|Advanced|High|High","57|Master's|Basic|Intermediate|High|Medium","50|PhD|None|None|Medium|Medium","32|Bachelor's|None|Intermediate|Medium|High","27|Bachelor's|Basic|Basic|High|High","57|Master's|None|Intermediate|Low|Low","51|Bachelor's|Intermediate|Intermediate|Medium|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",7.63333333333333,"pass","APPROVED","Hiring, Accounts/finance, Customer/client, Operations/production, Research/development, Business strategy, Marketing/sales/advertising, Supply chain/logistics, People management","37","Male","White","Spain","Spain","Spanish",10.0166666666667,"EU","37"
"9","100","True","45796.750336169","40.3721","-75.2927","Yes","45-54","Male","Yes, regularly","Director","Master's Degree","E-commerce","Very comfortable","I use AI tools frequently","Advanced","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","Strongly agree",NA,NA,NA,NA,NA,"The company has limited or no use of AI.","Not at all","Candidate A","Candidate A","Candidate B","Candidate B","Candidate A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5ba292385301b80001c71ba2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59|Master's|Intermediate|Intermediate|Medium|Medium","29|PhD|None|Basic|Low|High","42|Bachelor's|Basic|Basic|Low|Medium","37|Master's|Intermediate|Intermediate|Medium|Medium","34|PhD|Intermediate|Advanced|Low|Medium","48|Master's|None|Basic|High|Medium","38|Master's|None|Intermediate|High|Low","48|Master's|None|Intermediate|Low|Medium","38|Bachelor's|None|None|High|Low","37|Bachelor's|None|Advanced|Medium|High",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","analyst",6.23333333333333,"pass","APPROVED","Business strategy, Customer/client, Hiring, People management, Supply chain/logistics, Other","52","Male","White","United States","United States","English",6.35,"US","52"
"10","100","True","45796.7538078241","51.4902","3.5993","Yes","45-54","Male","Yes, regularly","Manager of a group of engineers and i also hire people.","Bachelor's Degree","Logistics/Transportation","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Disagree","Strongly disagree","Neutral","Agree","Disagree","Candidate B","Candidate B","Candidate A","Candidate B","Candidate B","The company has limited or no use of AI.","Not at all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5bea9d9805619d0001072057","43|Master's|None|Basic|Low|High","27|Bachelor's|Intermediate|Intermediate|Medium|High","32|Bachelor's|Intermediate|Intermediate|Low|High","44|PhD|None|Advanced|High|High","39|Bachelor's|None|Intermediate|Low|Medium","52|PhD|Basic|Basic|Low|Low","46|Bachelor's|None|Intermediate|High|Low","27|Bachelor's|Basic|Basic|Low|Medium","58|Bachelor's|None|Intermediate|Low|Medium","36|Master's|Basic|Basic|Low|Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"low","manager",11.1,"pass","APPROVED","Hiring, Operations/production, Research/development, Other","48","Male","White","Netherlands","Netherlands","Dutch",11.4,"EU","48"
