RespID,task_fg,chosen,age_group,educ,ml,prog,soft,lead,ai_framing,job_role
1,1,0,51-60,Master's,ml_Basic,prog_Advanced,soft_High,lead_High,low,manager
1,1,1,21-30,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_High,low,manager
1,2,0,51-60,Master's,ml_Intermediate,prog_Advanced,soft_Low,lead_Medium,low,manager
1,2,1,31-40,PhD,ml_Advanced,prog_Advanced,soft_Medium,lead_Medium,low,manager
1,3,0,51-60,Master's,ml_None,prog_Intermediate,soft_Medium,lead_Medium,low,manager
1,3,1,31-40,Bachelor's,ml_None,prog_Basic,soft_Medium,lead_Medium,low,manager
1,4,0,41-50,Master's,ml_Intermediate,prog_Advanced,soft_Low,lead_Medium,low,manager
1,4,1,31-40,Bachelor's,ml_Advanced,prog_Advanced,soft_Medium,lead_High,low,manager
1,5,1,51-60,Master's,ml_None,prog_Intermediate,soft_High,lead_Medium,low,manager
1,5,0,41-50,Master's,ml_None,prog_Intermediate,soft_Low,lead_Medium,low,manager
2,6,0,41-50,Bachelor's,ml_None,prog_Basic,soft_Low,lead_Low,high,analyst
2,6,1,31-40,PhD,ml_Intermediate,prog_Intermediate,soft_Low,lead_Low,high,analyst
2,7,0,51-60,Bachelor's,ml_None,prog_Advanced,soft_High,lead_Low,high,analyst
2,7,1,41-50,PhD,ml_Basic,prog_Intermediate,soft_Low,lead_High,high,analyst
2,8,1,41-50,Bachelor's,ml_Intermediate,prog_Advanced,soft_High,lead_High,high,analyst
2,8,0,31-40,PhD,ml_None,prog_Intermediate,soft_Medium,lead_High,high,analyst
2,9,0,21-30,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_Medium,high,analyst
2,9,1,51-60,Master's,ml_Basic,prog_Advanced,soft_High,lead_Low,high,analyst
2,10,1,41-50,Bachelor's,ml_None,prog_Basic,soft_Low,lead_Medium,high,analyst
2,10,0,31-40,PhD,ml_None,prog_Basic,soft_Low,lead_Low,high,analyst
3,11,0,21-30,Master's,ml_None,prog_None,soft_Low,lead_Medium,low,manager
3,11,1,31-40,PhD,ml_Advanced,prog_Advanced,soft_Low,lead_High,low,manager
3,12,1,31-40,Master's,ml_Basic,prog_Advanced,soft_Medium,lead_Low,low,manager
3,12,0,51-60,Master's,ml_None,prog_Advanced,soft_Low,lead_Medium,low,manager
3,13,1,31-40,Bachelor's,ml_Basic,prog_Basic,soft_Medium,lead_High,low,manager
3,13,0,51-60,Bachelor's,ml_None,prog_None,soft_Low,lead_Medium,low,manager
3,14,0,31-40,Master's,ml_None,prog_Intermediate,soft_High,lead_High,low,manager
3,14,1,21-30,PhD,ml_Basic,prog_Advanced,soft_High,lead_Medium,low,manager
3,15,0,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,low,manager
3,15,1,51-60,Bachelor's,ml_Advanced,prog_Advanced,soft_High,lead_Low,low,manager
4,16,0,51-60,Bachelor's,ml_None,prog_Intermediate,soft_High,lead_Low,high,manager
4,16,1,31-40,PhD,ml_Basic,prog_Advanced,soft_High,lead_Medium,high,manager
4,17,0,21-30,PhD,ml_Intermediate,prog_Advanced,soft_High,lead_Low,high,manager
4,17,1,41-50,Master's,ml_None,prog_None,soft_Low,lead_High,high,manager
4,18,1,41-50,PhD,ml_Advanced,prog_Advanced,soft_Medium,lead_Medium,high,manager
4,18,0,21-30,PhD,ml_Basic,prog_Advanced,soft_Medium,lead_Low,high,manager
4,19,1,51-60,Bachelor's,ml_Intermediate,prog_Advanced,soft_Low,lead_High,high,manager
4,19,0,41-50,Master's,ml_Basic,prog_Advanced,soft_Medium,lead_High,high,manager
4,20,1,41-50,PhD,ml_Advanced,prog_Advanced,soft_High,lead_Medium,high,manager
4,20,0,41-50,Bachelor's,ml_None,prog_Intermediate,soft_Medium,lead_Medium,high,manager
5,21,0,21-30,Master's,ml_None,prog_Basic,soft_Medium,lead_Low,low,analyst
5,21,1,31-40,Master's,ml_Intermediate,prog_Advanced,soft_Low,lead_High,low,analyst
5,22,1,41-50,Bachelor's,ml_None,prog_Basic,soft_High,lead_High,low,analyst
5,22,0,41-50,PhD,ml_Intermediate,prog_Intermediate,soft_Low,lead_Low,low,analyst
5,23,0,31-40,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_High,low,analyst
5,23,1,51-60,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Medium,lead_High,low,analyst
5,24,0,51-60,Master's,ml_None,prog_Basic,soft_High,lead_Medium,low,analyst
5,24,1,41-50,PhD,ml_None,prog_Intermediate,soft_High,lead_Medium,low,analyst
5,25,1,31-40,Master's,ml_Basic,prog_Advanced,soft_Medium,lead_High,low,analyst
5,25,0,31-40,Master's,ml_Basic,prog_Advanced,soft_Low,lead_Low,low,analyst
6,26,0,51-60,Master's,ml_None,prog_Advanced,soft_High,lead_Low,high,manager
6,26,1,31-40,Bachelor's,ml_Basic,prog_Intermediate,soft_High,lead_Medium,high,manager
6,27,1,51-60,PhD,ml_Intermediate,prog_Advanced,soft_Medium,lead_Medium,high,manager
6,27,0,31-40,PhD,ml_Basic,prog_Intermediate,soft_Low,lead_Medium,high,manager
6,28,1,51-60,Master's,ml_None,prog_None,soft_Medium,lead_Low,high,manager
6,28,0,21-30,Bachelor's,ml_None,prog_Basic,soft_Medium,lead_Low,high,manager
6,29,0,51-60,Bachelor's,ml_None,prog_Basic,soft_High,lead_High,high,manager
6,29,1,51-60,Bachelor's,ml_Advanced,prog_Advanced,soft_High,lead_Low,high,manager
6,30,1,41-50,Bachelor's,ml_Intermediate,prog_Intermediate,soft_Low,lead_Medium,high,manager
6,30,0,41-50,PhD,ml_Basic,prog_Advanced,soft_Low,lead_Medium,high,manager
7,31,1,51-60,Master's,ml_None,prog_Intermediate,soft_High,lead_High,low,analyst
7,31,0,51-60,Master's,ml_None,prog_Intermediate,soft_Medium,lead_Medium,low,analyst
7,32,0,51-60,Bachelor's,ml_None,prog_Intermediate,soft_Medium,lead_High,low,analyst
7,32,1,51-60,PhD,ml_Basic,prog_Intermediate,soft_Medium,lead_High,low,analyst
7,33,1,21-30,PhD,ml_None,prog_Intermediate,soft_Medium,lead_High,low,analyst
