"","PROLIFIC_PID","task_number","profile","chosen","age","educ","ml","prog","soft","lead","task_id","Progress","Finished","RecordedDate","LocationLatitude","LocationLongitude","consent","resp_age","resp_sex","resp_hiring","resp_role","resp_edu","industry_type","dig_literacy","dig_use","dig_skills","gov_reg","gov_reskill","personal_data_safety_cause_for_concern","ai_increases_prod_without_unemp","labour_welfare_policies_over_econ_growth","ai_driven_high_job_disp_in_the_future","more_ai_research_and_development","check_1","check_2","ai_framing","job_role","Duration_mins","m_check","Status","Decision.making.responsibilities","Age","Sex","Ethnicity.simplified","Country.of.residence","Nationality","Language","Time.taken_mins","Region","resp_age_num","condition"
"1","566a3e0e7da0350012b3ec49",1,"A",0,52,"Master's","Basic","Advanced","High","High","566a3e0e7da0350012b3ec49_1","100","True","45796.7631603819","43.1899","-89.2185","Yes","45-54","Male","Occasionally","Business Analyst","Bachelor's Degree","Banking, Finance and Insurance","Somewhat comfortable","I use AI tools occasionally","Intermediate","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Neutral","The company has limited or no use of AI.","Not at all","low","manager",3.26666666666667,"pass","APPROVED","Customer/client, Hiring, Operations/production, People management","49","Male","White","United States","United States","English",3.4,"US","49","Low AI + Manager"
"2","5749537f5e5491000f3c1e33",1,"A",0,30,"Master's","None","None","Low","Medium","5749537f5e5491000f3c1e33_1","100","True","45796.7558297222","43.0241","-76.0136","Yes","25-34","Male","Yes, regularly","Executive","Bachelor's Degree","Music","Very comfortable","I use AI tools frequently","Intermediate","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","The company has limited or no use of AI.","Not at all","low","manager",3.61666666666667,"pass","APPROVED","Hiring, People management, Operations/production, Research/development, Marketing/sales/advertising, Customer/client","34","Male","White","United States","United States","English",3.75,"US","34","Low AI + Manager"
"3","5bea9d9805619d0001072057",1,"A",0,43,"Master's","None","Basic","Low","High","5bea9d9805619d0001072057_1","100","True","45796.7538078241","51.4902","3.5993","Yes","45-54","Male","Yes, regularly","Manager of a group of engineers and i also hire people.","Bachelor's Degree","Logistics/Transportation","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Disagree","Strongly disagree","Neutral","Agree","Disagree","The company has limited or no use of AI.","Not at all","low","manager",11.1,"pass","APPROVED","Hiring, Operations/production, Research/development, Other","48","Male","White","Netherlands","Netherlands","Dutch",11.4,"EU","48","Low AI + Manager"
"4","5c27e76978fad500019328cc",1,"A",0,57,"Master's","None","Basic","Medium","Medium","5c27e76978fad500019328cc_1","100","True","45796.757971412","39.7436","-86.1158","Yes","35-44","Male","Occasionally","Data Engineer","Master's Degree","E-commerce","Somewhat comfortable","I use AI tools occasionally","Intermediate","Neutral","Strongly agree","Strongly agree","Neutral","Neutral","Agree","Agree","The company has limited or no use of AI.","Slightly","low","manager",3.06666666666667,"pass","APPROVED","Business strategy, Hiring, Marketing/sales/advertising, People management, Research/development","40","Male","White","United States","United States","English",3.2,"US","40","Low AI + Manager"
"5","5c4af67cdccaa800016b3192",1,"A",1,54,"PhD","Intermediate","Advanced","Low","High","5c4af67cdccaa800016b3192_1","100","True","45796.8282057292","36.5036","-79.758","Yes","35-44","Male","Yes, regularly","Business Development Manager","Master's Degree","Retail","Very comfortable","I use AI tools occasionally","Intermediate","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","Strongly agree","The company has limited or no use of AI.","Not at all","low","manager",2.66666666666667,"pass","APPROVED","Accounts/finance, Business strategy, Customer/client, Hiring, Marketing/sales/advertising, Operations/production, People management, Supply chain/logistics, Research/development","43","Male","White","United States","United States","English",2.75,"US","43","Low AI + Manager"
"6","5d5c25578af5fd0001ef3aee",1,"A",1,42,"Master's","None","None","Low","Low","5d5c25578af5fd0001ef3aee_1","100","True","45796.7474743519","33.1962","-80.0245","Yes","35-44","Female","Yes, regularly","IT director","Bachelor's Degree","Computer and Technology","Very comfortable","I use AI tools frequently","Advanced","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","The company relies heavily on AI.","Not at all","low","manager",2.98333333333333,"pass","APPROVED","Hiring, People management, Customer/client","44","Female","White","United States","United States","English",3.16666666666667,"US","44","Low AI + Manager"
"7","5dd32178c5fa30341133264e",1,"A",0,48,"Bachelor's","Intermediate","Advanced","Low","Low","5dd32178c5fa30341133264e_1","100","True","45796.7706500694","38.9522","-77.0253","Yes","35-44","Female","Yes, regularly","Office Manager","High School or lower","Customer Service","Somewhat uncomfortable","I use AI tools occasionally","Intermediate","Strongly agree","Strongly agree","Strongly agree","Neutral","Strongly agree","Agree","Agree","The company relies heavily on AI.","Slightly","low","manager",4.18333333333333,"pass","APPROVED","Hiring, Customer/client, People management","38","Female","Black","United States","United States","English",4.3,"US","38","Low AI + Manager"
"8","5dfa56fddc265f7ac3bee209",1,"A",0,32,"Bachelor's","None","None","High","Medium","5dfa56fddc265f7ac3bee209_1","100","True","45796.760228669","39.0352","-94.5456","Yes","45-54","Female","Yes, regularly","Manager","Bachelor's Degree","Printing","Very comfortable","I use AI tools occasionally","Intermediate","Neutral","Strongly agree","Agree","Neutral","Agree","Neutral","Neutral","The company has limited or no use of AI.","Slightly","low","manager",4.75,"pass","APPROVED","Marketing/sales/advertising, Business strategy, Accounts/finance, Customer/client, Hiring, Operations/production, People management, Supply chain/logistics","46","Female","White","United States","United States","English",4.88333333333333,"US","46","Low AI + Manager"
"9","5f51529b15e36638fe535eae",1,"A",0,41,"PhD","Basic","Basic","High","Low","5f51529b15e36638fe535eae_1","100","True","45796.8024875926","48.0132","-122.0679","Yes","35-44","Male","Yes, regularly","Manager","Bachelor's Degree","Healthcare","Very comfortable","I use AI tools occasionally","Intermediate","Neutral","Agree","Agree","Neutral","Neutral","Neutral","Agree","The company has limited or no use of AI.","Slightly","low","manager",5.06666666666667,"pass","APPROVED","Hiring, Customer/client, Business strategy, Accounts/finance, Marketing/sales/advertising, Operations/production, People management, Research/development, Supply chain/logistics","39","Male","White","United States","United States","English",5.18333333333333,"US","39","Low AI + Manager"
"10","5ffb8c5b60571908f3ac19fa",1,"A",0,41,"Master's","Basic","Advanced","High","Medium","5ffb8c5b60571908f3ac19fa_1","100","True","45796.7501119907","33.9388","-117.416","Yes","35-44","Male","Occasionally","E sales Supervisor","High School or lower","Retail","Somewhat comfortable","I use AI tools occasionally","Intermediate","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","The company has limited or no use of AI.","Not at all","low","manager",3.78333333333333,"pass","APPROVED","Marketing/sales/advertising, Hiring, People management","43","Male","White","United States","United States","English",4.05,"US","43","Low AI + Manager"
